history_date,production_isk,destruction_isk,mining_isk
2019-01-01,5087851774716.431,1286211647406.05,1523212353304.4043
2019-01-02,5371262573207.663,1193095455106.14,1477509850400.896
2019-01-03,5016884059282.34,1138683309504.35,1668781114222.7615
2019-01-04,5262121454733.303,1326690437943.73,1534036906635.4329
2019-01-05,6386980122151.332,1880315842897.24,1482699455656.9058
2019-01-06,4935691424748.94,1485338460810.96,1513561038678.5862
2019-01-07,5411210040763.428,1249859623236.58,1441142582659.5886
2019-01-08,5014457973672.039,1034727091939.02,1534714808865.4478
2019-01-09,4790403972264.122,998775923719.2,1493640387304.515
2019-01-10,5527711618139.476,1180250493055.9,1511169162899.1975
2019-01-11,5472077687642.01,1011792696747.99,1544709559393.4714
2019-01-12,5024847751042.222,1985844939572.98,1649843608128.8628
2019-01-13,5204755099693.607,1871783935528.97,1303293115467.9668
2019-01-14,5467050844272.75,1078138817300.9,1457077135031.322
2019-01-15,4963709291529.824,1000039324733.22,1362545104060.2607
2019-01-16,4994665905690.867,1772506361575.98,1439142036751.889
2019-01-17,5172671513156.081,1105042374662.93,1484858570260.858
2019-01-18,5231751405750.94,1172108430046.72,1560103369227.1108
2019-01-19,4934605782839.825,1627619483818.12,1828269352273.815
2019-01-20,5339802104730.739,1713175335605.8,1711850986376.9888
2019-01-21,5195228062225.369,1197968806799.13,1726899749094.5771
2019-01-22,4713244707369.121,982486967543.5,1546748618861.4473
2019-01-23,4773649776291.937,1114796158888.06,1439722373003.6272
2019-01-24,5531335316392.021,1096896665900.26,1565659535224.2693
2019-01-25,5047932969613.1,979118698930.57,1601771473928.1487
2019-01-26,5224323359911.309,1934939165424.06,1705928450638.1511
2019-01-27,6139683361237.841,1419752305897.61,1620887774877.4126
2019-01-28,5010053713750.001,1004576133117.55,1488665589846.4663
2019-01-29,5621850766295.664,1369660226342.56,1453632253236.0815
2019-01-30,5110150418090.528,982781081256.01,1525428662784.4214
2019-01-31,5081729237525.78,1069113316763.51,1570463400995.359
2019-02-01,5137560078383.859,995415351053.54,1544570528141.6335
2019-02-02,5701665769795.495,1891683063238.49,1613406762663.702
2019-02-03,5360560779325.873,1579143929544.61,1715576093350.1445
2019-02-04,5824666915670.1045,898101375994.67,1390407188381.4355
2019-02-05,4597729260219.6875,1089858209459.44,1253629639148.3357
2019-02-06,5172572015163.238,1090552099399.6,1519244579680.0999
2019-02-07,5026850949916.039,947910979611.59,1488174872098.0935
2019-02-08,5564972036137.211,956044975046.16,1494558531913.777
2019-02-09,5674564225757.25,1663168772375.24,1641330748469.1995
2019-02-10,5430657007464.457,1250319325908.04,1917699416363.4673
2019-02-11,5166952666458.911,933457445847.25,1502434962581.0708
2019-02-12,5438199701821.841,1118918117035.9,1469254364584.8555
2019-02-13,5235686463033.251,,
2019-02-14,5117591966363.948,901033661307.17,1545163073525.3105
2019-02-15,4842680840411.243,961719771159.57,1608429585134.1604
2019-02-16,5279173827753.086,1756453471590.47,1791760677791.9045
2019-02-17,5382336827707.007,1698124388064.17,1793089230951.1692
2019-02-18,5460374179519.081,957741104787.73,1693394151718.5847
2019-02-19,5128733395194.425,1042477355025.67,1577523937098.8594
2019-02-20,5532782902277.13,1031503557545.99,1449121752393.1426
2019-02-21,4947000843782.897,992188360458.34,1429552091034.9236
2019-02-22,4930658414410.273,1056483238284.1,1372500877685.6484
2019-02-23,4730425201766.655,1608461118324.86,1535746301660.7205
2019-02-24,4743012502330.073,1693374993102.96,1669733449980.0615
2019-02-25,4844040355517.744,959431401637.49,1425013757282.6191
2019-02-26,4889779505736.811,1049904753080.04,1435529639293.9785
2019-02-27,5068540924061.929,1239496329230.96,1334026512814.8494
2019-02-28,5123634361512.25,1110000427486.31,1413492213980.2554
2019-03-01,4692300870192.219,1207887644626.07,1366718086866.4136
2019-03-02,5737627877406.243,2005909504538.3,1552465983909.215
2019-03-03,5753432467779.183,1830906086400.22,1508515513531.6794
2019-03-04,5124597329902.774,966249716013.35,1378956861475.973
2019-03-05,5970147721814.368,1055518974605.96,1433005426659.7117
2019-03-06,4534088075165.193,1187439821553.69,1420425307258.2422
2019-03-07,5377947301859.695,1007153236297.79,1488061525494.1072
2019-03-08,5070865344423.059,1023576151939.31,1445757928611.493
2019-03-09,5652323842741.011,1464990461906.16,1719961091643.4124
2019-03-10,5829440187588.552,1457266452164.09,1866603142643.571
2019-03-11,5319670764002.459,844640307827.74,1439020722081.466
2019-03-12,4908423456900.269,1043837457533.34,1486124044264.9421
2019-03-13,4690205659777.422,1014028300683.38,1376637380143.8748
2019-03-14,5210061175419.177,1130308153119.06,1327212709581.0898
2019-03-15,5082968335980.017,1066309150221.08,1342513718073.1843
2019-03-16,4902451983001.706,1810672474754.23,1572416312815.3696
2019-03-17,5434434424626.251,1416079493882.8,1466755010675.8977
2019-03-18,5481299158838.55,1241810221000.68,1376149772923.8162
2019-03-19,4847896132953.65,958219403023.23,1408352924086.2131
2019-03-20,4874894791101.292,999998282834.96,
2019-03-21,4336269414240.034,1116238353109.79,1378099538986.9412
2019-03-22,4861240119230.067,1077512108824.48,1309136990664.3535
2019-03-23,5441259124867.019,1794625224309.83,1569267508137.097
2019-03-24,4947257104890.42,2062846531840.27,1493981804122.0835
2019-03-25,4928273899376.548,1080355856310.71,
2019-03-26,4772862388149.078,1068311864265.96,1391886795731.6226
2019-03-27,4440316826225.306,893788588303.8,1331677512342.054
2019-03-28,4488376774806.4,1065010527332.82,1437850164754.2273
2019-03-29,5039913336094.841,1010556918224.37,1310813138690.7993
2019-03-30,4773399572669.76,2094096936583.51,1469040896598.721
2019-03-31,5787195923552.202,1480657801330.24,1597353783351.7727
2019-04-01,4964089823386.497,1071073251070.0,1344077300329.7769
2019-04-02,4942775777297.708,1128798869691.0,1278022184029.782
2019-04-03,4224705107361.6816,1048666115697.66,1425544573584.5774
2019-04-04,4522513049165.975,942139031023.51,1271407593926.1042
2019-04-05,4750217969880.137,1891731720169.97,1346922853741.2354
2019-04-06,4930663278247.832,1926433903461.15,1378603812262.3276
2019-04-07,6036430323120.75,1597767251407.65,1413525628711.8662
2019-04-08,5195651278248.524,973902779746.39,1246274270795.5862
2019-04-09,4695292742298.687,1138772382471.96,1172740275749.2317
2019-04-10,4737736583819.858,1020108576906.84,1079648072831.6823
2019-04-11,5293290543494.527,975859509874.01,1087287054484.1406
2019-04-12,4506991391385.6455,1292971318665.31,1111027722087.776
2019-04-13,4926214344076.019,1835863019173.6,1261457265927.6511
2019-04-14,4832007158233.559,1802950613560.45,1198810313380.1602
